ObjectID,GlobalID,Native Species,Unlisted Native Species,Native Species Percent Cover,Native Species Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor
11335,e203caa1-7727-4829-9258-5e266faf6909,Eleocharis_macrostachya,,2,,27b98f16-c859-4d9f-bc6f-af231e696552,5/16/2023 12:07:20 AM,ccber_user,5/16/2023 12:07:20 AM,ccber_user
11336,a66c0ac2-87ad-47c9-bdda-caad8df77dbf,Eleocharis_acicularis,,1,,27b98f16-c859-4d9f-bc6f-af231e696552,5/16/2023 12:07:20 AM,ccber_user,5/16/2023 12:07:20 AM,ccber_user
11337,dc1d78f4-7b58-47ac-89b4-0610ca64a55d,Symphyotrichum_subulatum,,1,,27b98f16-c859-4d9f-bc6f-af231e696552,5/16/2023 12:07:20 AM,ccber_user,5/16/2023 12:07:20 AM,ccber_user
11338,c07e6c75-5938-4c0e-b894-2765b46bf267,Eleocharis_macrostachya,,11,,1412025e-7dde-4d27-aee8-947ff9f2be65,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb
11339,19af07ea-d6f2-4681-8821-8ab994fbec51,Eleocharis_acicularis,,3,,1412025e-7dde-4d27-aee8-947ff9f2be65,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb
11340,a5eb3f94-8d5b-4481-9409-aa016960eb08,Eryngium_vaseyi,,1,,1412025e-7dde-4d27-aee8-947ff9f2be65,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb
11341,e7cd146a-0a4c-4a1f-885a-72ca8e4daff0,Hordeum_brachyantherum,,1,,1412025e-7dde-4d27-aee8-947ff9f2be65,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:47 AM,joannatang@umail.ucsb.edu_ucsb
11342,0527aced-3cf3-40d8-9d56-3022e7f83ebb,Eleocharis_acicularis,,22,,b850341d-abc6-4829-8223-8e7caa43cb9a,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb
11343,e44c5cd9-68d3-4eb1-9dc7-255762d0629e,Eryngium_vaseyi,,2,,b850341d-abc6-4829-8223-8e7caa43cb9a,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:43:54 AM,joannatang@umail.ucsb.edu_ucsb
11344,59ad5f1f-388c-4df4-a73e-99595fdff4c9,Eleocharis_acicularis,,6,,afc1a39d-1fa2-429d-b926-9cb85e272800,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb
11345,3938b845-46aa-42c4-8ebe-4228f00fac6b,Eryngium_vaseyi,,6,,afc1a39d-1fa2-429d-b926-9cb85e272800,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:02 AM,joannatang@umail.ucsb.edu_ucsb
11346,73dbe890-45e7-4c0c-88c9-705eaeea1756,Eleocharis_acicularis,,21,,dfa229f3-3a13-4182-9675-90fd2f155193,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb
11347,79c6ff88-ce41-4ad7-8772-896c487defc6,Eryngium_vaseyi,,2,,dfa229f3-3a13-4182-9675-90fd2f155193,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb
11348,a9b62ac3-dd85-40ae-8898-82e39a3b7e81,Deinandra_fasciculata,,1,,dfa229f3-3a13-4182-9675-90fd2f155193,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:09 AM,joannatang@umail.ucsb.edu_ucsb
11349,cf443268-b78e-42a2-acaf-489589b2eacd,Eleocharis_acicularis,,13,,76c82cac-d7bb-41a3-808f-fabe50c87ac7,5/16/2023 1:44:16 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:16 AM,joannatang@umail.ucsb.edu_ucsb
11350,3fc50a91-9e7b-44ff-b523-df4f3b5aa06c,Eleocharis_macrostachya,,1,,76c82cac-d7bb-41a3-808f-fabe50c87ac7,5/16/2023 1:44:16 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:16 AM,joannatang@umail.ucsb.edu_ucsb
11351,99d1e907-0c25-4b42-a1a6-8016002e35d3,Erigeron_canadensis,,1,,76c82cac-d7bb-41a3-808f-fabe50c87ac7,5/16/2023 1:44:16 AM,joannatang@umail.ucsb.edu_ucsb,5/16/2023 1:44:16 AM,joannatang@umail.ucsb.edu_ucsb
